ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000001228,Uhrf1,1.299,0,0,2.3179999999999996,0,0,0,0,0,0,0,0
ENSMUSG00000001229,Dpp9,67.523,50.548,63.04,56.035999999999994,73.534,70.64500000000001,149.704,139.558,154.493,74.295,127.708,157.97299999999998
ENSMUSG00000001240,Ramp2,77.059,71.77799999999999,50.470000000000006,90.828,52.82599999999999,46.967,91.331,144.113,144.325,168.288,66.86699999999999,147.95100000000002
ENSMUSG00000001247,Lsr,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001248,Gramd1a,860.5759999999999,914.889,879.735,1012.5429999999999,730.957,1129.49,1840.308,2162.673,1943.8570000000002,1650.7910000000002,1571.3600000000001,1946.299
ENSMUSG00000001249,Hpn,47.00000000000001,40,37,29,29.999000000000002,24,53.99999999999999,78,54,39,20.532,99
ENSMUSG00000001260,Gabrg1,972.7230000000001,1127.995,940.307,898.5820000000001,1013.1070000000001,1035.001,506,583.288,591,1122,476.99899999999997,546.04
ENSMUSG00000001270,Ckb,21016.492000000002,20840.319,19626.417999999998,19919.653,19237.684,19091.827999999998,26534.573999999997,31945.846000000005,29085.567000000003,15999,24057.711,29586.129
ENSMUSG00000001280,Sp1,0,0,0,1.058,0,0,0,0,0,3.776,1.706,0
ENSMUSG00000001281,Itgb7,17,7,10,38,24,9,22,25,37,18,19,16
ENSMUSG00000001285,Myg1,187.94,200.58599999999998,126.186,110.869,140.916,213.41599999999997,259.33299999999997,246.346,252.042,317.312,246.685,282.845
ENSMUSG00000001288,Rarg,41.709,52.099,78.709,112.924,54.274,58.054,67.132,108.393,101.715,111.229,95.258,63.225
ENSMUSG00000001289,Pfdn5,1768.477,1674.051,1593.172,1872.456,1715.256,1592.739,2004.795,2365.3109999999997,2081.14,2394.441,1745.616,2018.9160000000002
